"abnormal" "normal"
"acyclic" "cyclic"
"amoral" "moral"
"amorally" "morally"
"apolitical" "political"
"asexual" "sexual"
"asexuality" "sexuality"
"asymmetric" "symmetric"
"asymmetrical" "symmetrical"
"asymmetrically" "symmetrically"
"asymmetry" "symmetry"
"asymptomatic" "symptomatic"
"asynchronism" "synchronism"
"asynchronous" "synchronous"
"asynchrony" "synchrony"
"asyndetic" "syndetic"
"atonal" "tonal"
"atonality" "tonality"
"atonic" "tonic"
"atonicity" "tonicity"
"atypical" "typical"
"atypicality" "typicality"
"atypically" "typically"
"discontinuous" "continuous"
"discourteous" "courteous"
"disharmonious" "harmonious"
"dishonest" "honest"
"dishonorable" "honorable"
"disloyal" "loyal"
"disobedient" "obedient"
"disrespectful" "respectful"
"dissimilar" "similar"
"distasteful" "tasteful"
"illegal" "legal"
"illegality" "legality"
"illegally" "legally"
"illegibility" "legibility"
"illegible" "legible"
"illegibly" "legibly"
"illegitimacy" "legitimacy"
"illegitimate" "legitimate"
"illegitimately" "legitimately"
"illiberal" "liberal"
"illiberality" "liberality"
"illiberally" "liberally"
"illicit" "licit"
"illicitly" "licitly"
"illicitness" "licitness"
"illiquid" "liquid"
"illiquidity" "liquidity"
"illiteracy" "literacy"
"illiterate" "literate"
"illogic" "logic"
"illogical" "logical"
"illogicality" "logicality"
"illogically" "logically"
"illogicalness" "logicalness"
"imbalance" "balance"
"immature" "mature"
"immaturity" "maturity"
"immobile" "mobile"
"immoderate" "moderate"
"immoderation" "moderation"
"immodest" "modest"
"immoral" "moral"
"immorality" "morality"
"immortal" "mortal"
"immortality" "mortality"
"impalpability" "palpability"
"impalpable" "palpable"
"imparipinnate" "paripinnate"
"impartial" "partial"
"impartiality" "partiality"
"impartially" "partially"
"imparting" "parting"
"impassable" "passable"
"impassive" "passive"
"impassively" "passively"
"impassiveness" "passiveness"
"impassivity" "passivity"
"impatience" "patience"
"impatient" "patient"
"impatiently" "patiently"
"impeccable" "peccable"
"impeccant" "peccant"
"impediment" "pediment"
"impendent" "pendent"
"impenetrability" "penetrability"
"impenetrable" "penetrable"
"impenitence" "penitence"
"impenitent" "penitent"
"impenitently" "penitently"
"imperceptibility" "perceptibility"
"imperceptible" "perceptible"
"imperceptibly" "perceptibly"
"imperfect" "perfect"
"imperfection" "perfection"
"imperfective" "perfective"
"imperfectly" "perfectly"
"imperishable" "perishable"
"impermanence" "permanence"
"impermanency" "permanency"
"impermanent" "permanent"
"impermeability" "permeability"
"impermeable" "permeable"
"impermeableness" "permeableness"
"impermissibility" "permissibility"
"impermissible" "permissible"
"impermissibly" "permissibly"
"impersonal" "personal"
"impersonally" "personally"
"impertinence" "pertinence"
"impertinent" "pertinent"
"impertinently" "pertinently"
"impervious" "pervious"
"imperviousness" "perviousness"
"impiety" "piety"
"impious" "pious"
"impiously" "piously"
"impiousness" "piousness"
"implacable" "placable"
"implausibility" "plausibility"
"implausible" "plausible"
"implausibleness" "plausibleness"
"impolite" "polite"
"impolitely" "politely"
"impoliteness" "politeness"
"impolitic" "politic"
"imponderable" "ponderable"
"impossibility" "possibility"
"impossible" "possible"
"impossibleness" "possibleness"
"impossibly" "possibly"
"impotency" "potency"
"impotently" "potently"
"impracticability" "practicability"
"impracticable" "practicable"
"impracticableness" "practicableness"
"impracticably" "practicably"
"impractical" "practical"
"impracticality" "practicality"
"imprecise" "precise"
"imprecisely" "precisely"
"impreciseness" "preciseness"
"imprecision" "precision"
"impregnable" "pregnable"
"improbability" "probability"
"improbable" "probable"
"improbably" "probably"
"improper" "proper"
"improperly" "properly"
"improperness" "properness"
"impropriety" "propriety"
"improvident" "provident"
"improvidently" "providently"
"imprudence" "prudence"
"imprudent" "prudent"
"imprudently" "prudently"
"impure" "pure"
"impureness" "pureness"
"impurity" "purity"
"imputrescible" "putrescible"
"inability" "ability"
"inaccessibility" "accessibility"
"inaccessible" "accessible"
"inaccuracy" "accuracy"
"inaccurate" "accurate"
"inaccurately" "accurately"
"inaction" "action"
"inactivation" "activation"
"inactive" "active"
"inactiveness" "activeness"
"inactivity" "activity"
"inadequacy" "adequacy"
"inadequate" "adequate"
"inadequately" "adequately"
"inadequateness" "adequateness"
"inadmissibility" "admissibility"
"inadmissible" "admissible"
"inadvertence" "advertence"
"inadvertency" "advertency"
"inadvertent" "advertent"
"inadvertently" "advertently"
"inadvisability" "advisability"
"inadvisable" "advisable"
"inaesthetic" "aesthetic"
"inalienable" "alienable"
"inalterable" "alterable"
"inanimate" "animate"
"inanimateness" "animateness"
"inapplicability" "applicability"
"inapplicable" "applicable"
"inapposite" "apposite"
"inappositeness" "appositeness"
"inappreciable" "appreciable"
"inappropriate" "appropriate"
"inappropriately" "appropriately"
"inappropriateness" "appropriateness"
"inapt" "apt"
"inaptitude" "aptitude"
"inaptness" "aptness"
"inarguable" "arguable"
"inarticulate" "articulate"
"inarticulately" "articulately"
"inartistic" "artistic"
"inattention" "attention"
"inattentive" "attentive"
"inattentively" "attentively"
"inattentiveness" "attentiveness"
"inaudibility" "audibility"
"inaudible" "audible"
"inaudibleness" "audibleness"
"inaudibly" "audibly"
"inauspicious" "auspicious"
"inauspiciously" "auspiciously"
"inauspiciousness" "auspiciousness"
"inauthentic" "authentic"
"incalculable" "calculable"
"incandescent" "candescent"
"incapability" "capability"
"incapable" "capable"
"incapableness" "capableness"
"incapacity" "capacity"
"incaution" "caution"
"incautious" "cautious"
"incautiously" "cautiously"
"incautiousness" "cautiousness"
"incertain" "certain"
"incertitude" "certitude"
"incivility" "civility"
"inclemency" "clemency"
